"NUTS_ID","NAME_LATN","NAME_ENGL","ISO3_CODE","calc_grass","non_calc_grass","grass_missing_data","all_grass","total_area"
"DE73","Kassel","Germany","DEU",383.1764,1314.4836,16.8691,1714.5291,8290.5521
"DE21","Oberbayern","Germany","DEU",210.5354,3628.1412,58.4255,3897.1021,17531.9762
"CZ07","Střední Morava","Czechia","CZE",180.504,1776.9528,17.7143,1975.1711,9233.4745
"CZ08","Moravskoslezsko","Czechia","CZE",55.5215,1344.4221,18.5351,1418.4787,5429.6686
"DE80","Mecklenburg-Vorpommern","Germany","DEU",864.4304,3452.4019,400.8932,4717.7255,23083.618
"DE22","Niederbayern","Germany","DEU",211.3943,1531.7763,16.38,1759.5506,10325.4245
"DE11","Stuttgart","Germany","DEU",1066.0318,888.3172,29.2472,1983.5962,10554.2338
"DE91","Braunschweig","Germany","DEU",293.0448,794.9074,22.2894,1110.2416,8121.7742
"DE23","Oberpfalz","Germany","DEU",383.5679,1529.3649,15.5382,1928.471,9687.9796
"CY00","Kýpros","Cyprus","CYP",0,0,1426.4189,1426.4189,9121.4925
"CZ01","Praha","Czechia","CZE",2.8394,51.7246,11.9586,66.5226,496.6124
"DE12","Karlsruhe","Germany","DEU",272.9411,704.1956,23.1348,1000.2715,6920.5258
"FRB0","Centre — Val de Loire","France","FRA",3256.0842,4426.2935,125.0464,7807.4241,39531.7804
"FRF1","Alsace","France","FRA",362.4733,784.885,36.128,1183.4863,8330.5581
"FRE1","Nord-Pas de Calais","France","FRA",893.2081,1505.2546,81.7931,2480.2558,12438.1023
"FRI1","Aquitaine","France","FRA",3106.1787,6492.0256,200.9744,9799.1787,41724.2056
"FRF2","Champagne-Ardenne","France","FRA",2357.0702,1676.8746,65.4561,4099.4009,25726.1511
"FRE2","Picardie","France","FRA",1172.5859,1087.8459,81.1043,2341.5361,19493.4121
"FRI2","Limousin","France","FRA",86.951,7829.3046,33.1525,7949.4081,17055.7403
"FRF3","Lorraine","France","FRA",3044.1507,2339.0465,86.7106,5469.9078,23669.7856
"FRC1","Bourgogne","France","FRA",2966.0873,7010.8708,81.8765,10058.8346,31753.1051
"FRG0","Pays de la Loire","France","FRA",1253.0689,10191.8231,278.9619,11723.8539,32327.5642
"FRC2","Franche-Comté","France","FRA",312.7262,4824.3103,50.2834,5187.3199,16305.638
"FR10","Ile-de-France","France","FRA",549.1738,517.3881,111.6596,1178.2215,12069.6076
"FRD1","Basse-Normandie ","France","FRA",938.6258,6104.4713,297.0639,7340.161,17748.4493
"FRH0","Bretagne","France","FRA",43.9828,8095.5737,517.7265,8657.283,27415.5417
"FRI3","Poitou-Charentes","France","FRA",2128.3529,4256.6499,129.967,6514.9698,25928.3529
"FRD2","Haute-Normandie ","France","FRA",771.9625,1654.8699,93.5973,2520.4297,12326.239
"ES52","Comunitat Valenciana ","Spain","ESP",291.1066,1149.1575,85.7402,1526.0043,23264.0293
"ES24","Aragón","Spain","ESP",1404.4092,5668.1605,194.5169,7267.0866,47718.5093
"FI19","Länsi-Suomi","Finland","FIN",23.7926,5670.3151,381.5284,6075.6361,64691.1845
"FI1B","Helsinki-Uusimaa","Finland","FIN",0,1050.658,123.824,1174.482,9518.4262
"FI1C","Etelä-Suomi","Finland","FIN",0,3105.9342,371.7601,3477.6943,35196.3502
"FI1D","Pohjois- ja Itä-Suomi","Finland","FIN",1488.864,24349.8433,940.8285,26779.5358,227101.1426
"FI20","Åland","Finland","FIN",0,71.4221,101.7836,173.2057,1461.6681
"ES30","Comunidad de Madrid","Spain","ESP",543.5991,1332.0114,107.3484,1982.9589,8030.3913
"ES11","Galicia","Spain","ESP",57.5415,6172.3618,323.8713,6553.7746,29572.764
"ES41","Castilla y León","Spain","ESP",6601.7407,13018.2867,224.2833,19844.3107,94220.2862
"ES53","Illes Balears","Spain","ESP",380.1637,345.7084,135.1314,861.0035,4991.6821
